ZIP_CODE,CITY_STATE_NAME,STATE_ABBREV,CTYST_MAILING_NAME_IND,STATE_ABBREV,PREFD_LAST_LINE_CTYST_NAM,COUNTY_NO,COUNTY_NAME,FINANCE_NO
10009,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10009,PETER STUYVESANT            ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10009,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10009,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10009,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10010,MADISON SQUARE              ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10010,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10010,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10010,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10010,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10010,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10010,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10011,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10011,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10011,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10011,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10011,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10011,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10012,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10012,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
